name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ibm,95.221397,95.098801,107.196381,92.197342,98.814621,94.599213,103.11908000000001,105.55803700000001,112.47254199999999,112.96003700000001,110.519997,115.82
msft,53.61869,49.876686,54.14090699999999,48.8866,52.318272,50.51181,55.950935,57.074429,57.21349,59.517920999999994,60.259997999999996,62.139998999999996
googl,761.349976,717.219971,762.900024,707.880005,748.849976,703.530029,791.340027,789.849976,804.0599980000001,809.900024,775.880005,792.450012
aapl,120.20933500000001,127.50956000000001,147.38092,142.018967,151.05320700000001,149.127457,157.812973,157.451599,157.421875,152.308258,162.220001,165.990005
